Participant ID;Answer Number;Word/Answer;Which section;Question;For OT: level
3_ABK16;26;ist;CL-3;Cloze;
3_ABK16;27;mit;CL-3;Cloze;
3_ABK16;28;Tat;CL-3;Cloze;
3_ABK16;29;ist;CL-3;Cloze;
3_ABK16;30;mit;CL-3;Cloze;
3_ABK16;31;Person;CL-3;Cloze;
3_ABK16;32;angebrachte;CL-3;Cloze;
3_ABK16;33;einer;CL-3;Cloze;
3_ABK16;34;dann;CL-3;Cloze;
3_ABK16;35;Sorgfalt;CL-3;Cloze;
3_ABK16;1;3;SUS-CL;;
3_ABK16;2;2;SUS-CL;;
3_ABK16;3;3;SUS-CL;;
3_ABK16;4;2;SUS-CL;;
3_ABK16;5;2;SUS-CL;;
3_ABK16;6;3;SUS-CL;;
3_ABK16;7;2;SUS-CL;;
3_ABK16;8;2;SUS-CL;;
3_ABK16;9;3;SUS-CL;;
3_ABK16;1;3;Regular use of CL;;
3_BAK16;1;explizit;CL-3;OT;OT: Low
3_BAK16;2;bewusst;CL-3;OT;OT: Low
3_BAK16;3;unvorsichtig;CL-3;OT;OT: High
3_BAK16;4;Konsequenzen;CL-3;OT;OT: Medium
3_BAK16;5;Sorgfalt;CL-3;OT;OT: High
3_BAK16;1;Verbrechen;CL-3;Cloze;
3_BAK16;2;Verbrechen;CL-3;Cloze;
3_BAK16;3;muss;CL-3;Cloze;
3_BAK16;4;werden;CL-3;Cloze;
3_BAK16;5;Vergehen;CL-3;Cloze;
3_BAK16;6;Vergehen;CL-3;Cloze;
3_BAK16;7;muss;CL-3;Cloze;
3_BAK16;8;werden;CL-3;Cloze;
3_BAK16;9;will;CL-3;Cloze;
3_BAK16;10;will;CL-3;Cloze;
3_BAK16;11;bewusst;CL-3;Cloze;
3_BAK16;12;Verbrechen;CL-3;Cloze;
3_BAK16;13;sich;CL-3;Cloze;
3_BAK16;14;es;CL-3;Cloze;
3_BAK16;15;handelt;CL-3;Cloze;
3_BAK16;16;um;CL-3;Cloze;
3_BAK16;17;Person;CL-3;Cloze;
3_BAK16;18;möglich;CL-3;Cloze;
3_BAK16;19;der;CL-3;Cloze;
3_BAK16;20;die;CL-3;Cloze;
3_BAK16;21;nachlässig;CL-3;Cloze;
3_BAK16;22;kennt;CL-3;Cloze;
3_BAK16;23;in Kauf nimmt;CL-3;Cloze;
3_BAK16;24;handelt;CL-3;Cloze;
3_BAK16;25;Tat;CL-3;Cloze;
3_BAK16;26;ist;CL-3;Cloze;
3_BAK16;27;aus;CL-3;Cloze;
3_BAK16;28;Tat;CL-3;Cloze;
3_BAK16;29;ist;CL-3;Cloze;
3_BAK16;30;aus;CL-3;Cloze;
3_BAK16;31;Person;CL-3;Cloze;
3_BAK16;32;angemesse;CL-3;Cloze;
3_BAK16;33;andere;CL-3;Cloze;
3_BAK16;34;-;CL-3;Cloze;
3_BAK16;35;Nachlässigkeit;CL-3;Cloze;
3_BAK16;1;4;SUS-CL;;
3_BAK16;2;5;SUS-CL;;
3_BAK16;3;1;SUS-CL;;
3_BAK16;4;1;SUS-CL;;
3_BAK16;5;4;SUS-CL;;
3_BAK16;6;1;SUS-CL;;
3_BAK16;7;5;SUS-CL;;
3_BAK16;8;3;SUS-CL;;
3_BAK16;9;4;SUS-CL;;
3_BAK16;1;5;Distraction task;;
3_BAK16;1;Willen;NL-3;OT;OT: Low
3_BAK16;2;Verwirklichung;NL-3;OT;OT: Medium
3_BAK16;3;pflichtwidriger Unvorsichtigkeit;NL-3;OT;OT: High
3_BAK16;4;persönlichen Verhälntnissen;NL-3;OT;OT: High
3_BAK16;1;-;NL-3;Cloze;
3_BAK16;2;strafbar;NL-3;Cloze;
3_BAK16;3;Vergehen;NL-3;Cloze;
3_BAK16;4;Verbrechen;NL-3;Cloze;
3_BAK16;5;Tat;NL-3;Cloze;
3_BAK16;6;begeht;NL-3;Cloze;
3_BAK16;7;die;NL-3;Cloze;
3_BAK16;8;möglich;NL-3;Cloze;
3_BAK16;9;nimmt;NL-3;Cloze;
3_BAK16;10;Vergehen;NL-3;Cloze;
3_BAK16;11;Handelns;NL-3;Cloze;
3_BAK16;12;beachtet;NL-3;Cloze;
3_BAK16;13;nimmt;NL-3;Cloze;
3_BAK16;14;wenn;NL-3;Cloze;
3_BAK16;15;nicht;NL-3;Cloze;
3_BAK16;16;nach;NL-3;Cloze;
3_BAK16;17;seinen;NL-3;Cloze;
3_BAK16;1;5;SUS-NL;;
3_BAK16;2;2;SUS-NL;;
3_BAK16;3;4;SUS-NL;;
3_BAK16;4;1;SUS-NL;;
3_BAK16;5;2;SUS-NL;;
3_BAK16;6;3;SUS-NL;;
3_BAK16;7;2;SUS-NL;;
3_BAK16;8;4;SUS-NL;;
3_BAK16;9;3;SUS-NL;;
3_BAK16;1;3;Regular use of CL;;
3_ABK17;1;Verbrechen;NL-3;OT;OT: Low
3_ABK17;2;Vergehen;NL-3;OT;OT: Low
3_ABK17;3;Verbrechen;NL-3;OT;OT: Low
3_ABK17;4;Vergehen;NL-3;OT;OT: Low
3_ABK17;1;-;NL-3;Cloze;
3_ABK17;2;strafbar;NL-3;Cloze;
3_ABK17;3;Vergehen;NL-3;Cloze;
3_ABK17;4;Verbrechen;NL-3;Cloze;
3_ABK17;5;Tat;NL-3;Cloze;
3_ABK17;6;begeht;NL-3;Cloze;
3_ABK17;7;die;NL-3;Cloze;
3_ABK17;8;wahrscheinlich;NL-3;Cloze;
3_ABK17;9;nimmt;NL-3;Cloze;
3_ABK17;10;Vergehen;NL-3;Cloze;
3_ABK17;11;Handelns;NL-3;Cloze;
3_ABK17;12;erkennt;NL-3;Cloze;
3_ABK17;13;nimmt;NL-3;Cloze;
3_ABK17;14;wenn;NL-3;Cloze;
3_ABK17;15;nicht;NL-3;Cloze;
3_ABK17;16;nach;NL-3;Cloze;
3_ABK17;17;seinen;NL-3;Cloze;
3_ABK17;1;4;SUS-NL;;
3_ABK17;2;2;SUS-NL;;
3_ABK17;3;3;SUS-NL;;
3_ABK17;4;2;SUS-NL;;
3_ABK17;5;2;SUS-NL;;
3_ABK17;6;3;SUS-NL;;
3_ABK17;7;3;SUS-NL;;
3_ABK17;8;3;SUS-NL;;
3_ABK17;9;3;SUS-NL;;
3_ABK17;1;6;Distraction task;;
3_ABK17;1;Verbrechen;CL-3;OT;OT: Medium
3_ABK17;2;Vergehen;CL-3;OT;OT: Medium
3_ABK17;3;Sorgfalt;CL-3;OT;OT: Medium
3_ABK17;4;Sorgfalt;CL-3;OT;OT: Medium
3_ABK17;1;Verbrechen;CL-3;Cloze;
3_ABK17;2;ist;CL-3;Cloze;
3_ABK17;3;kann;CL-3;Cloze;
3_ABK17;4;werden;CL-3;Cloze;
3_ABK17;5;-;CL-3;Cloze;
3_ABK17;6;-;CL-3;Cloze;
3_ABK17;7;kann;CL-3;Cloze;
3_ABK17;8;werden;CL-3;Cloze;
3_ABK17;9;-;CL-3;Cloze;
3_ABK17;10;-;CL-3;Cloze;
3_ABK17;11;-;CL-3;Cloze;
3_ABK17;12;-;CL-3;Cloze;
3_ABK17;13;-;CL-3;Cloze;
3_ABK17;14;-;CL-3;Cloze;
3_ABK17;15;-;CL-3;Cloze;
3_ABK17;16;-;CL-3;Cloze;
3_ABK17;17;Person;CL-3;Cloze;
3_ABK17;18;erlaubt;CL-3;Cloze;
3_ABK17;19;der;CL-3;Cloze;
3_ABK17;20;die;CL-3;Cloze;
3_ABK17;21;-;CL-3;Cloze;
3_ABK17;22;-;CL-3;Cloze;
3_ABK17;23;-;CL-3;Cloze;
3_ABK17;24;handelt;CL-3;Cloze;
3_ABK17;25;Tat;CL-3;Cloze;
3_ABK17;26;ist;CL-3;Cloze;
3_ABK17;27;in;CL-3;Cloze;
3_ABK17;28;Tat;CL-3;Cloze;
3_ABK17;29;ist;CL-3;Cloze;
3_ABK17;30;in;CL-3;Cloze;
3_ABK17;31;Person;CL-3;Cloze;
3_ABK17;32;angepasste;CL-3;Cloze;
3_ABK17;33;einer anderen;CL-3;Cloze;
3_ABK17;34;dann;CL-3;Cloze;
3_ABK17;35;Sorgfalt;CL-3;Cloze;
3_ABK17;1;4;SUS-CL;;
3_ABK17;2;2;SUS-CL;;
3_ABK17;3;3;SUS-CL;;
3_ABK17;4;2;SUS-CL;;
3_ABK17;5;2;SUS-CL;;
3_ABK17;6;4;SUS-CL;;
3_ABK17;7;2;SUS-CL;;
3_ABK17;8;3;SUS-CL;;
3_ABK17;9;2;SUS-CL;;
3_ABK17;1;4;Regular use of CL;;
3_BAK17;1;glaubt;CL-3;OT;OT: High
3_BAK17;2;unvorsichtig;CL-3;OT;OT: Medium
3_BAK17;3;verabsäumt;CL-3;OT;OT: Medium
3_BAK17;4;nachlässig;CL-3;OT;OT: Medium
3_BAK17;5;die der Situation entsprechende Sorgfalt;CL-3;OT;OT: High
3_BAK17;6;der Person zugetraut werden kann;CL-3;OT;OT: High
3_BAK17;1;Verbrechen;CL-3;Cloze;
3_BAK17;2;dieses;CL-3;Cloze;
3_BAK17;3;kann;CL-3;Cloze;
3_BAK17;4;werden;CL-3;Cloze;
3_BAK17;5;Vergehen;CL-3;Cloze;
3_BAK17;6;dieses;CL-3;Cloze;
3_BAK17;7;kann;CL-3;Cloze;
3_BAK17;8;werden;CL-3;Cloze;
3_BAK17;9;begeht;CL-3;Cloze;
3_BAK17;10;will;CL-3;Cloze;
3_BAK17;11;bewusst;CL-3;Cloze;
3_BAK17;12;Verbrechen;CL-3;Cloze;
3_BAK17;13;sich;CL-3;Cloze;
3_BAK17;14;es;CL-3;Cloze;
3_BAK17;15;handelt;CL-3;Cloze;
3_BAK17;16;um;CL-3;Cloze;
3_BAK17;17;Person;CL-3;Cloze;
3_BAK17;18;möglich;CL-3;Cloze;
3_BAK17;19;diese;CL-3;Cloze;
3_BAK17;20;die;CL-3;Cloze;
3_BAK17;21;bewusst;CL-3;Cloze;
3_BAK17;22;-;CL-3;Cloze;
3_BAK17;23;-;CL-3;Cloze;
3_BAK17;24;handelt;CL-3;Cloze;
3_BAK17;25;Tat;CL-3;Cloze;
3_BAK17;26;ist;CL-3;Cloze;
3_BAK17;27;aus;CL-3;Cloze;
3_BAK17;28;Tat;CL-3;Cloze;
3_BAK17;29;ist;CL-3;Cloze;
3_BAK17;30;aus;CL-3;Cloze;
3_BAK17;31;Person;CL-3;Cloze;
3_BAK17;32;angepasst;CL-3;Cloze;
3_BAK17;33;dieser;CL-3;Cloze;
3_BAK17;34;dann;CL-3;Cloze;
3_BAK17;35;Sorgfalt;CL-3;Cloze;
3_BAK17;1;2;SUS-CL;;
3_BAK17;2;2;SUS-CL;;
3_BAK17;3;2;SUS-CL;;
3_BAK17;4;4;SUS-CL;;
3_BAK17;5;3;SUS-CL;;
3_BAK17;6;4;SUS-CL;;
3_BAK17;7;5;SUS-CL;;
3_BAK17;8;2;SUS-CL;;
3_BAK17;9;3;SUS-CL;;
3_BAK17;1;5;Distraction task;;
3_BAK17;1;pflichtwidriger Unvorsichtigkeit;NL-3;OT;OT: High
3_BAK17;1;explizit;NL-3;Cloze;
3_BAK17;2;schuldig;NL-3;Cloze;
3_BAK17;3;Vergehen;NL-3;Cloze;
3_BAK17;4;Verbrechen;NL-3;Cloze;
3_BAK17;5;Tat;NL-3;Cloze;
3_BAK17;6;begeht;NL-3;Cloze;
3_BAK17;7;die;NL-3;Cloze;
3_BAK17;8;möglich;NL-3;Cloze;
3_BAK17;9;nimmt;NL-3;Cloze;
3_BAK17;10;Vergehen;NL-3;Cloze;
3_BAK17;11;Tuns;NL-3;Cloze;
3_BAK17;12;bedeutet;NL-3;Cloze;
3_BAK17;13;nimmt;NL-3;Cloze;
3_BAK17;14;wenn;NL-3;Cloze;
3_BAK17;15;nicht;NL-3;Cloze;
3_BAK17;16;unter;NL-3;Cloze;
3_BAK17;17;seinen;NL-3;Cloze;
3_BAK17;1;2;SUS-NL;;
3_BAK17;2;2;SUS-NL;;
3_BAK17;3;2;SUS-NL;;
3_BAK17;4;3;SUS-NL;;
3_BAK17;5;3;SUS-NL;;
3_BAK17;6;4;SUS-NL;;
3_BAK17;7;5;SUS-NL;;
3_BAK17;8;2;SUS-NL;;
3_BAK17;9;3;SUS-NL;;
3_BAK17;1;2;Regular use of CL;;
3_ABK18;1;möglich;NL-3;OT;OT: High
3_ABK18;2;in Kauf nimmt;NL-3;OT;OT: High
3_ABK18;3;pflichtwidriger Unvorsichtigkeit;NL-3;OT;OT: Medium
3_ABK18;4;Pflichtwidrig;NL-3;OT;OT: Medium
3_ABK18;5;Unvorsichtigkeit;NL-3;OT;OT: Medium
3_ABK18;6;persönlichen Verhältnissen;NL-3;OT;OT: Medium
3_ABK18;1;-;NL-3;Cloze;
3_ABK18;2;strafbar;NL-3;Cloze;
3_ABK18;3;Vergehen;NL-3;Cloze;
3_ABK18;4;Verbrechen;NL-3;Cloze;
3_ABK18;5;-;NL-3;Cloze;
3_ABK18;6;-;NL-3;Cloze;
3_ABK18;7;die;NL-3;Cloze;
3_ABK18;8;möglich;NL-3;Cloze;
3_ABK18;9;nimmt;NL-3;Cloze;
3_ABK18;10;Vergehen;NL-3;Cloze;
3_ABK18;11;Handelns;NL-3;Cloze;
3_ABK18;12;-;NL-3;Cloze;
3_ABK18;13;-;NL-3;Cloze;
3_ABK18;14;-;NL-3;Cloze;
3_ABK18;15;-;NL-3;Cloze;
3_ABK18;16;-;NL-3;Cloze;
3_ABK18;17;-;NL-3;Cloze;
3_ABK18;1;4;SUS-NL;;
3_ABK18;2;4;SUS-NL;;
3_ABK18;3;2;SUS-NL;;
3_ABK18;4;2;SUS-NL;;
3_ABK18;5;2;SUS-NL;;
3_ABK18;6;2;SUS-NL;;
3_ABK18;7;3;SUS-NL;;
3_ABK18;8;2;SUS-NL;;
3_ABK18;9;2;SUS-NL;;
3_ABK18;1;4;Distraction task;;
3_ABK18;1;nachlässig;CL-3;OT;OT: High
3_ABK18;2;Person zugetraut werden;CL-3;OT;OT: High
3_ABK18;1;Verbrechen;CL-3;Cloze;
3_ABK18;2;es;CL-3;Cloze;
3_ABK18;3;kann;CL-3;Cloze;
3_ABK18;4;werden;CL-3;Cloze;
3_ABK18;5;Vergehen;CL-3;Cloze;
3_ABK18;6;es;CL-3;Cloze;
3_ABK18;7;kann;CL-3;Cloze;
3_ABK18;8;werden;CL-3;Cloze;
3_ABK18;9;-;CL-3;Cloze;
3_ABK18;10;will;CL-3;Cloze;
3_ABK18;11;bewusst;CL-3;Cloze;
3_ABK18;12;Verbrechen;CL-3;Cloze;
3_ABK18;13;sich;CL-3;Cloze;
3_ABK18;14;es;CL-3;Cloze;
3_ABK18;15;handelt;CL-3;Cloze;
3_ABK18;16;um;CL-3;Cloze;
3_ABK18;17;Person;CL-3;Cloze;
3_ABK18;18;möglich;CL-3;Cloze;
3_ABK18;19;der;CL-3;Cloze;
3_ABK18;20;die;CL-3;Cloze;
3_ABK18;21;bewusst;CL-3;Cloze;
3_ABK18;22;-;CL-3;Cloze;
3_ABK18;23;-;CL-3;Cloze;
3_ABK18;24;-;CL-3;Cloze;
3_ABK18;25;Tat;CL-3;Cloze;
3_ABK18;26;ist;CL-3;Cloze;
3_ABK18;27;aus;CL-3;Cloze;
3_ABK18;28;Tat;CL-3;Cloze;
3_ABK18;29;ist;CL-3;Cloze;
3_ABK18;30;aus;CL-3;Cloze;
3_ABK18;31;Person;CL-3;Cloze;
3_ABK18;32;nötigen;CL-3;Cloze;
3_ABK18;33;der;CL-3;Cloze;
3_ABK18;34;so;CL-3;Cloze;
3_ABK18;35;Sorgfalt;CL-3;Cloze;
3_ABK18;1;2;SUS-CL;;
3_ABK18;2;3;SUS-CL;;
3_ABK18;3;4;SUS-CL;;
3_ABK18;4;2;SUS-CL;;
3_ABK18;5;2;SUS-CL;;
3_ABK18;6;5;SUS-CL;;
3_ABK18;7;5;SUS-CL;;
3_ABK18;8;2;SUS-CL;;
3_ABK18;9;2;SUS-CL;;
3_ABK18;1;5;Regular use of CL;;
3_BAK18;1;Verbrechen begeht und das Gesetz dies nicht explizit erlaubt;CL-3;OT;OT: High
3_BAK18;2;Vergehen begeht und das Gesetz dies nicht explizit erlaubt;CL-3;OT;OT: High
3_BAK18;3;Tat ausführt und diese Tat erfüllen will;CL-3;OT;OT: Medium
3_BAK18;4;Tat;CL-3;OT;OT: Low
3_BAK18;5;dass eine Tat möglich ist;CL-3;OT;OT: Medium
3_BAK18;6;verabsäumt;CL-3;OT;OT: High
3_BAK18;7;Tat;CL-3;OT;OT: Low
3_BAK18;8;Tat;CL-3;OT;OT: Low
3_BAK18;1;Verbrechen;CL-3;Cloze;
3_BAK18;2;diese Handlung;CL-3;Cloze;
3_BAK18;3;kann;CL-3;Cloze;
3_BAK18;4;werden;CL-3;Cloze;
3_BAK18;5;Verbrechen;CL-3;Cloze;
3_BAK18;6;diese Handlung;CL-3;Cloze;
3_BAK18;7;kann;CL-3;Cloze;
3_BAK18;8;werden;CL-3;Cloze;
3_BAK18;9;ausübt;CL-3;Cloze;
3_BAK18;10;-;CL-3;Cloze;
3_BAK18;11;-;CL-3;Cloze;
3_BAK18;12;-;CL-3;Cloze;
3_BAK18;13;-;CL-3;Cloze;
3_BAK18;14;-;CL-3;Cloze;
3_BAK18;15;-;CL-3;Cloze;
3_BAK18;16;-;CL-3;Cloze;
3_BAK18;17;Person;CL-3;Cloze;
3_BAK18;18;-;CL-3;Cloze;
3_BAK18;19;-;CL-3;Cloze;
3_BAK18;20;-;CL-3;Cloze;
3_BAK18;21;absichtlich;CL-3;Cloze;
3_BAK18;22;-;CL-3;Cloze;
3_BAK18;23;-;CL-3;Cloze;
3_BAK18;24;handelt;CL-3;Cloze;
3_BAK18;25;-;CL-3;Cloze;
3_BAK18;26;-;CL-3;Cloze;
3_BAK18;27;-;CL-3;Cloze;
3_BAK18;28;-;CL-3;Cloze;
3_BAK18;29;-;CL-3;Cloze;
3_BAK18;30;-;CL-3;Cloze;
3_BAK18;31;-;CL-3;Cloze;
3_BAK18;32;-;CL-3;Cloze;
3_BAK18;33;-;CL-3;Cloze;
3_BAK18;34;-;CL-3;Cloze;
3_BAK18;35;-;CL-3;Cloze;
3_BAK18;1;4;SUS-CL;;
3_BAK18;2;4;SUS-CL;;
3_BAK18;3;2;SUS-CL;;
3_BAK18;4;3;SUS-CL;;
3_BAK18;5;-;SUS-CL;;
3_BAK18;6;2;SUS-CL;;
3_BAK18;7;5;SUS-CL;;
3_BAK18;8;1;SUS-CL;;
3_BAK18;9;4;SUS-CL;;
3_BAK18;1;7;Distraction task;;
3_BAK18;1;wer die Verwirklichung der Tat für möglich hält;NL-3;OT;OT: Medium
3_BAK18;2;aus pflichtwidriger Unvorsichtigkeit nicht bedenkt oder darauf nicht Rücksicht nimmt;NL-3;OT;OT: Medium
3_BAK18;3;der er nach den Umständen und nach seinen persönlichen Verhältnissen verpflichtet ist;NL-3;OT;OT: High
3_BAK18;1;explizit;NL-3;Cloze;
3_BAK18;2;strafbar;NL-3;Cloze;
3_BAK18;3;Vergehen;NL-3;Cloze;
3_BAK18;4;Verbrechen;NL-3;Cloze;
3_BAK18;5;Tat;NL-3;Cloze;
3_BAK18;6;ausübt;NL-3;Cloze;
3_BAK18;7;-;NL-3;Cloze;
3_BAK18;8;möglich;NL-3;Cloze;
3_BAK18;9;nimmt;NL-3;Cloze;
3_BAK18;10;Vergehen;NL-3;Cloze;
3_BAK18;11;Handelns;NL-3;Cloze;
3_BAK18;12;bedenkt;NL-3;Cloze;
3_BAK18;13;nimmt;NL-3;Cloze;
3_BAK18;14;-;NL-3;Cloze;
3_BAK18;15;-;NL-3;Cloze;
3_BAK18;16;-;NL-3;Cloze;
3_BAK18;17;-;NL-3;Cloze;
3_BAK18;1;4;SUS-NL;;
3_BAK18;2;4;SUS-NL;;
3_BAK18;3;2;SUS-NL;;
3_BAK18;4;3;SUS-NL;;
3_BAK18;5;4;SUS-NL;;
3_BAK18;6;2;SUS-NL;;
3_BAK18;7;4;SUS-NL;;
3_BAK18;8;1;SUS-NL;;
3_BAK18;9;4;SUS-NL;;
3_BAK18;1;4;Regular use of CL;;
3_ABK21;1;vorsätzlich;NL-3;OT;OT: Low
3_ABK21;2;Vorsätzlich begeht;NL-3;OT;OT: Low
3_ABK21;3;Vorsätzlich handelt;NL-3;OT;OT: Low
3_ABK21;4;Fahrlässig;NL-3;OT;OT: Low
3_ABK21;5;die Vorsicht nicht;NL-3;OT;OT: High
3_ABK21;6;den Umständen;NL-3;OT;OT: High
3_ABK21;7;persönlichen Verhältnissen;NL-3;OT;OT: High
3_ABK21;1;ausdrücklich;NL-3;Cloze;
3_ABK21;2;strafbar;NL-3;Cloze;
3_ABK21;3;Vergehen;NL-3;Cloze;
3_ABK21;4;Verbrechen;NL-3;Cloze;
3_ABK21;5;Tat;NL-3;Cloze;
3_ABK21;6;begeht;NL-3;Cloze;
3_ABK21;7;die Vorsicht nicht;NL-3;Cloze;
3_ABK21;8;möglich;NL-3;Cloze;
3_ABK21;9;nimmt;NL-3;Cloze;
3_ABK21;10;Vergehen;NL-3;Cloze;
3_ABK21;11;Handelns;NL-3;Cloze;
3_ABK21;12;bedenkt;NL-3;Cloze;
3_ABK21;13;nimmt;NL-3;Cloze;
3_ABK21;14;wenn;NL-3;Cloze;
3_ABK21;15;nicht;NL-3;Cloze;
3_ABK21;16;nach;NL-3;Cloze;
3_ABK21;17;den;NL-3;Cloze;
3_ABK21;1;5;SUS-NL;;
3_ABK21;2;3;SUS-NL;;
3_ABK21;3;4;SUS-NL;;
3_ABK21;4;1;SUS-NL;;
3_ABK21;5;1;SUS-NL;;
3_ABK21;6;4;SUS-NL;;
3_ABK21;7;1;SUS-NL;;
3_ABK21;8;5;SUS-NL;;
3_ABK21;9;1;SUS-NL;;
3_ABK21;1;6;Distraction task;;
3_ABK21;1;verfolgt;CL-3;OT;OT: Medium
3_ABK21;2;bewusst;CL-3;OT;OT: High
3_ABK21;3;verfolgt werden;CL-3;OT;OT: Medium
3_ABK21;4;ausführt;CL-3;OT;OT: High
3_ABK21;5;erfüllen;CL-3;OT;OT: High
3_ABK21;6;bewusst;CL-3;OT;OT: High
3_ABK21;7;bewusstes;CL-3;OT;OT: High
3_ABK21;8;bewusstes;CL-3;OT;OT: High
3_ABK21;9;Möglichkeit der Tat;CL-3;OT;OT: Medium
3_ABK21;10;bewusst;CL-3;OT;OT: High
3_ABK21;11;unvorsichtig;CL-3;OT;OT: Medium
3_ABK21;12;einzuschätzen;CL-3;OT;OT: Medium
3_ABK21;13;nachlässig;CL-3;OT;OT: High
3_ABK21;14;Nachlässigkeit;CL-3;OT;OT: High
3_ABK21;15;Nachlässigkeit;CL-3;OT;OT: High
3_ABK21;16;der Situation entsprechende;CL-3;OT;OT: High
3_ABK21;17;Sorgfalt ausübt;CL-3;OT;OT: Medium
3_ABK21;18;zugetraut;CL-3;OT;OT: High
3_ABK21;19;diese Verletzung;CL-3;OT;OT: High
3_ABK21;1;Verbrechen;CL-3;Cloze;
3_ABK21;2;es;CL-3;Cloze;
3_ABK21;3;kann;CL-3;Cloze;
3_ABK21;4;werden;CL-3;Cloze;
3_ABK21;5;Vergehen;CL-3;Cloze;
3_ABK21;6;es;CL-3;Cloze;
3_ABK21;7;kann;CL-3;Cloze;
3_ABK21;8;werden;CL-3;Cloze;
3_ABK21;9;begeht;CL-3;Cloze;
3_ABK21;10;will;CL-3;Cloze;
3_ABK21;11;bewusst;CL-3;Cloze;
3_ABK21;12;Verbrechen;CL-3;Cloze;
3_ABK21;13;sich;CL-3;Cloze;
3_ABK21;14;es;CL-3;Cloze;
3_ABK21;15;handelt;CL-3;Cloze;
3_ABK21;16;um;CL-3;Cloze;
3_ABK21;17;Person;CL-3;Cloze;
3_ABK21;18;ein Verbrechen;CL-3;Cloze;
3_ABK21;19;bewusst;CL-3;Cloze;
3_ABK21;20;die;CL-3;Cloze;
3_ABK21;21;-;CL-3;Cloze;
3_ABK21;22;-;CL-3;Cloze;
3_ABK21;23;nicht kennt;CL-3;Cloze;
3_ABK21;24;handelt;CL-3;Cloze;
3_ABK21;25;Tat;CL-3;Cloze;
3_ABK21;26;ist;CL-3;Cloze;
3_ABK21;27;mit;CL-3;Cloze;
3_ABK21;28;Tat;CL-3;Cloze;
3_ABK21;29;ist;CL-3;Cloze;
3_ABK21;30;mit;CL-3;Cloze;
3_ABK21;31;Person;CL-3;Cloze;
3_ABK21;32;entsprechende;CL-3;Cloze;
3_ABK21;33;der;CL-3;Cloze;
3_ABK21;34;so;CL-3;Cloze;
